Walk Score (out of 100),Transit Score (out of 100),Bike Score (out of 100),Elementary School Score (out of 10),Middle School Score (out of 10),High School Score (out of 10),Price,Beds,Baths,Sq Ft, Monthly Payment,Year Built,HOA Dues,Lot Size,Garage Spaces,Tax Amount,Zip Code
42,34,40,6,5,5,870000 ,3,2,2622,5375,1971,0,20909,2,1985,89123
38,0,47,7,5,5,925000 ,5,3,3930,5972,1997,0,"6,970",3,5195,89123
20,31,50,8,5,5,515000 ,5,3,2384,3349,2005,73,"4,356",2,2306,89123
30,0,35,6,5,4,340000 ,3,2.5,1230,2216,2002,78,"1,742",1,1220,89183
31,0,33,7,8,5,489999 ,3,2.5,2045,3121,2001,62,"3,920",2,1497,89141
29,32,47,6,5,5,899900 ,6,4.5,4269,5855,1998,70,"10,454",4,4759,89123
40,22,35,8,5,5,455000 ,3,2.5,1836,3070,2015,74,"3,920",2,3264,89123
15,0,30,7,8,5,950000 ,4,4.5,4410,6170,2007,95,15246,2,4639,89139
18,0,36,8,7,2,980000 ,3,4,3255,6302,2014,0,23087,3,5209,89113
5,0,27,7,8,5,489856 ,4,2.5,1998,3384,2024,51,"3,485",2,4800,89141
5,0,27,7,8,5,500513 ,4,3,2089,3465,2024,51,"3,485",2,5000,89141
29,30,39,6,5,5,459900 ,3,2.5,1445,2932,1997,14,"5,227",2,1965,89123
8,0,32,7,8,5,549369 ,5,3,2481,3412,2022,49,"3,485",2,876,89141
15,0,33,9,8,5,535000 ,3,3.5,2247,3626,2006,228,"4,356",2,2334,89141
3,0,26,5,8,5,415000 ,3,2.5,1598,2748,2011,63,"3,049",2,2401,89139
3,0,26,9,8,5,649000 ,5,3,3096,4281,2002,137,"6,098",2,3092,89141
55,0,48,5,8,5,485000 ,3,2.5,2032,3145,2005,40,"5,663",2,2412,89178
61,37,52,6,5,5,525000 ,5,3,2386,3456,2003,70,"8,276",3,2910,89123
56,0,43,5,5,4,470000 ,2,2.5,1933,3002,1998,16,"4,356",2,2057,89183
10,0,27,5,8,5,595000 ,4,3.5,3065,3909,2013,33,"3,049",2,3755,89141
10,0,32,5,8,5,510000 ,4,3,1686,3324,2008,64,"4,792",2,2471,89178
64,0,52,5,5,4,319000 ,2,2,1232,2150,2000,144,"1,742",1,1152,89123
46,0,67,5,5,4,359900 ,2,2.5,1342,2382,2007,115,"1,742",1,1343,89183
23,0,36,6,5,4,575000 ,4,2.5,2730,3704,2006,27,"5,227",2,2808,89183
12,0,26,6,8,4,630000 ,4,3.5,3275,4146,2017,47,"5,227",2,3922,89183
19,0,34,7,8,5,483000 ,3,2,1467,3266,2002,175,"6,098",2,2387,89141
5,0,27,7,8,5,507270 ,4,3,2124,3505,2024,51,"3,485",2,5000,89141
5,0,27,7,8,5,528094 ,5,3,2469,3646,2024,51,"3,485",2,5200,89141
68,34,55,6,5,5,634900 ,4,3,2232,4050,1997,18,"6,098",3,2765,89123
49,0,68,5,5,4,360000 ,2,2.5,1269,2371,2006,102,"1,742",1,1355,89183
10,0,27,8,7,2,500000 ,3,2,1616,3178,1989,0,23087,2,2211,89113
28,0,32,7,7,2,918000 ,5,3.5,4522,6072,2017,35,"6,970",3,6477,89139
8,0,1,9,8,5,739000 ,3,2.5,1998,4969,2017,145,"8,276",2,4784,89141
15,0,28,9,8,5,900000 ,4,2.5,3156,5828,2003,125,"8,712",3,3763,89141
7,0,27,5,8,5,599999 ,4,3,3111,3959,2013,32,"6,098",2,4017,89139
19,0,31,7,8,5,495000 ,4,2.5,2460,3202,2003,72,"3,920",2,1989,89141
7,0,26,9,8,5,750000 ,3,2.5,2505,4929,2018,78,"6,534",3,4321,89141
6,0,27,9,8,5,474900 ,3,3,2173,3251,2019,90,"4,792",2,3813,89179
8,0,32,7,8,5,515000 ,3,2,1916,3449,2018,57,"5,227",2,3702,89141
3,0,29,9,8,5,395000 ,3,2.5,1455,2652,2015,82,"2,178",2,2463,89179
7,0,27,6,5,4,740000 ,5,3,2608,4930,2011,103,"10,454",3,4748,89183
31,0,30,7,8,5,399000 ,2,2.5,1609,2617,2001,72,"3,920",2,1874,89141
60,0,34,7,8,5,639900 ,4,3.5,2967,4174,2001,72,"5,663",2,3241,89141
5,0,28,9,8,5,425000 ,3,2.5,1831,2738,2008,42,"3,049",2,1818,89179
40,0,35,5,5,4,425000 ,3,2,1593,2880,2002,157,"4,356",2,2137,89123
27,0,34,9,8,5,597500 ,5,3,3134,3922,2004,124,"6,098",3,2643,89141
47,0,43,5,5,4,474500 ,3,2.5,1933,3044,1998,16,"4,356",2,2246,89183
2,0,28,9,8,5,559000 ,3,2.5,1855,3625,2005,109,"4,792",2,2025,89141
4,0,29,9,8,5,365000 ,3,2.5,1490,2444,2012,97,"1,742",2,1938,89179
51,0,38,7,7,2,595000 ,3,3.5,2971,3921,2018,24,"5,227",2,4012,89139
48,0,45,5,8,5,440000 ,3,2,1553,2831,2006,40,"4,356",2,1876,89178
6,0,30,9,8,5,640000 ,3,2,2347,4091,2002,72,"6,534",3,2240,89141
11,0,28,5,8,5,675000 ,5,3.5,3971,4507,2015,32,"5,663",3,5203,89141
15,0,33,9,8,5,600000 ,3,2.5,2459,4004,2005,200,"4,356",2,2535,89141
60,0,42,6,5,4,325000 ,3,2.5,1387,2088,2001,81,"1,742",1,735,89183
2,0,15,5,8,5,555000 ,3,2.5,2014,3604,2009,32,"3,485",2,2980,89139
50,0,42,5,8,5,759000 ,5,4,3399,4904,2006,77,"6,970",3,3384,89178
12,0,46,6,8,4,420000 ,3,2.5,1865,2686,2005,20,"3,485",2,1809,89183
5,0,35,9,8,5,438000 ,4,2.5,2282,3014,2014,135,"2,614",2,3074,89179
9,0,27,5,8,5,675000 ,5,3.5,3971,4477,2014,32,"4,356",3,4833,89141
2,0,18,9,8,5,869000 ,3,2.5,3471,5581,2004,90,"8,712",3,3453,89141
14,0,34,7,8,5,438147 ,3,2,1203,3047,2023,57,"3,485",2,4400,89141
3,0,29,9,8,5,579000 ,3,2.5,2045,3821,2015,40,"5,227",2,3772,89179
13,0,29,7,8,5,625000 ,3,2,1964,4025,2002,107,"6,098",3,2103,89141
33,0,48,5,8,5,700000 ,4,2.5,2460,4423,2006,39,"7,405",2,2312,89139
14,0,34,7,8,5,527518 ,5,3,2469,3649,2024,57,"3,485",2,5200,89141
4,0,29,9,8,5,525775 ,4,2.5,2465,3448,2001,120,"4,792",2,2161,89141
7,0,25,9,8,5,930000 ,2,2.5,2189,6432,2005,512,"8,276",2,4214,89141
4,0,21,9,8,5,733000 ,3,2.5,3137,4885,2014,40,"8,712",3,5474,89179
7,0,25,9,8,5,849000 ,3,2.5,2172,6018,2005,603,"7,841",2,3980,89141
10,0,27,8,7,2,900000 ,4,3,2999,5688,1995,0,21344,2,3585,89113
41,30,52,4,5,5,465000 ,4,2.5,2034,2974,1998,0,"6,970",2,2277,89123
17,0,32,5,8,5,799900 ,5,3,4078,5379,2010,175,"6,534",2,4971,89178
6,0,26,5,8,5,539900 ,4,2.5,2290,3577,2016,32,"3,920",2,3743,89141
53,0,46,6,5,4,649900 ,4,2.5,2523,4080,2000,25,"9,583",2,1963,89183
2,0,11,9,8,5,798700 ,3,2.5,3471,5214,2004,90,"8,712",3,4102,89141
32,0,35,6,5,4,350000 ,3,1.5,1279,2268,2002,56,"3,920",1,1391,89183
30,0,40,7,7,2,831600 ,4,3.5,2988,5443,2020,20,"5,771",2,5323,89139
